ra,dec,total,valid,freq
0.0,73.0,3.0,1.0,0.3333333333333333
0,74,0,0,0
0.0,75.0,3.0,0.0,0.0
0.0,76.0,1.0,0.0,0.0
0.0,77.0,2.0,0.0,0.0
0,78,0,0,0
0,79,0,0,0
0.0,80.0,2.0,0.0,0.0
0.0,81.0,2.0,0.0,0.0
0.0,82.0,3.0,0.0,0.0
0.0,83.0,1.0,0.0,0.0
0,84,0,0,0
0.0,85.0,2.0,0.0,0.0
0,86,0,0,0
0,87,0,0,0
0.0,88.0,1.0,0.0,0.0
0.0,89.0,1.0,0.0,0.0
0,90,0,0,0
0.0,91.0,3.0,0.0,0.0
0.0,92.0,2.0,0.0,0.0
0,93,0,0,0
0.0,94.0,1.0,0.0,0.0
0.0,95.0,1.0,0.0,0.0
0.0,96.0,1.0,0.0,0.0
0.0,97.0,1.0,0.0,0.0
0.0,98.0,2.0,0.0,0.0
0.0,99.0,2.0,0.0,0.0
1,0,0,0,0
1.0,1.0,1.0,0.0,0.0
1,2,0,0,0
1,3,0,0,0
1,4,0,0,0
1.0,5.0,2.0,0.0,0.0
1.0,6.0,1.0,1.0,1.0
1,7,0,0,0
1.0,8.0,1.0,0.0,0.0
1.0,9.0,1.0,0.0,0.0
1.0,10.0,2.0,1.0,0.5
1,11,0,0,0
1,12,0,0,0
1,13,0,0,0
1.0,14.0,1.0,0.0,0.0
1,15,0,0,0
1.0,16.0,1.0,0.0,0.0
1.0,17.0,2.0,0.0,0.0
1,18,0,0,0
1.0,19.0,3.0,0.0,0.0
1.0,20.0,2.0,0.0,0.0
1.0,21.0,1.0,0.0,0.0
1.0,22.0,3.0,0.0,0.0
1.0,23.0,2.0,0.0,0.0
1.0,24.0,1.0,0.0,0.0
1.0,25.0,1.0,1.0,1.0
1.0,26.0,1.0,0.0,0.0
1.0,27.0,1.0,0.0,0.0
1.0,28.0,3.0,0.0,0.0
1.0,29.0,1.0,0.0,0.0
1.0,30.0,1.0,0.0,0.0
1,31,0,0,0
1.0,32.0,1.0,0.0,0.0
1,33,0,0,0
1.0,34.0,1.0,0.0,0.0
1.0,35.0,1.0,0.0,0.0
1.0,36.0,1.0,0.0,0.0
1.0,37.0,1.0,0.0,0.0
1.0,38.0,3.0,0.0,0.0
1.0,39.0,3.0,1.0,0.3333333333333333
1.0,40.0,2.0,0.0,0.0
1.0,41.0,2.0,0.0,0.0
1.0,42.0,4.0,0.0,0.0
1.0,43.0,1.0,0.0,0.0
1.0,44.0,3.0,0.0,0.0
1.0,45.0,6.0,0.0,0.0
1.0,46.0,1.0,0.0,0.0
1.0,47.0,6.0,2.0,0.3333333333333333
1.0,48.0,2.0,0.0,0.0
1.0,49.0,5.0,0.0,0.0
1.0,50.0,1.0,0.0,0.0
1.0,51.0,1.0,0.0,0.0
1.0,52.0,4.0,0.0,0.0
1.0,53.0,3.0,0.0,0.0
1.0,54.0,6.0,0.0,0.0
1.0,55.0,7.0,0.0,0.0
1.0,56.0,9.0,1.0,0.1111111111111111
1.0,57.0,5.0,0.0,0.0
1.0,58.0,6.0,0.0,0.0
1.0,59.0,3.0,0.0,0.0
1.0,60.0,6.0,0.0,0.0
1.0,61.0,3.0,1.0,0.3333333333333333
1.0,62.0,6.0,0.0,0.0
1.0,63.0,5.0,0.0,0.0
1.0,64.0,4.0,0.0,0.0
1.0,65.0,10.0,0.0,0.0
1.0,66.0,4.0,0.0,0.0
1.0,67.0,4.0,0.0,0.0
1.0,68.0,10.0,3.0,0.3
1.0,69.0,5.0,0.0,0.0
1.0,70.0,4.0,0.0,0.0
1.0,71.0,5.0,0.0,0.0
1.0,72.0,4.0,0.0,0.0
1.0,73.0,5.0,0.0,0.0
1.0,74.0,3.0,0.0,0.0
1.0,75.0,6.0,0.0,0.0
1.0,76.0,10.0,1.0,0.1
1.0,77.0,3.0,0.0,0.0
1.0,78.0,6.0,0.0,0.0
1.0,79.0,6.0,0.0,0.0
1.0,80.0,9.0,0.0,0.0
1.0,81.0,3.0,0.0,0.0
1.0,82.0,5.0,0.0,0.0
1.0,83.0,4.0,0.0,0.0
1.0,84.0,6.0,0.0,0.0
1.0,85.0,5.0,0.0,0.0
1.0,86.0,8.0,0.0,0.0
1.0,87.0,3.0,0.0,0.0
1.0,88.0,4.0,0.0,0.0
1.0,89.0,2.0,0.0,0.0
1.0,90.0,5.0,0.0,0.0
1,91,0,0,0
1.0,92.0,1.0,0.0,0.0
1.0,93.0,1.0,0.0,0.0
1.0,94.0,3.0,0.0,0.0
1.0,95.0,2.0,0.0,0.0
1.0,96.0,2.0,0.0,0.0
1.0,97.0,1.0,0.0,0.0
1.0,98.0,1.0,0.0,0.0
1.0,99.0,1.0,0.0,0.0
2,0,0,0,0
2.0,1.0,1.0,0.0,0.0
2.0,2.0,1.0,0.0,0.0
2.0,3.0,1.0,0.0,0.0
2.0,4.0,2.0,0.0,0.0
2.0,5.0,1.0,0.0,0.0
2,6,0,0,0
2,7,0,0,0
2,8,0,0,0
2,9,0,0,0
2,10,0,0,0
2,11,0,0,0
2,12,0,0,0
2.0,13.0,2.0,0.0,0.0
2,14,0,0,0
2,15,0,0,0
2,16,0,0,0
2.0,17.0,4.0,0.0,0.0
2.0,18.0,2.0,0.0,0.0
2.0,19.0,2.0,0.0,0.0
2.0,20.0,1.0,0.0,0.0
2.0,21.0,1.0,0.0,0.0
2.0,22.0,2.0,0.0,0.0
2.0,23.0,3.0,0.0,0.0
2.0,24.0,3.0,0.0,0.0
2.0,25.0,6.0,0.0,0.0
2.0,26.0,2.0,0.0,0.0
2.0,27.0,1.0,0.0,0.0
2,28,0,0,0
2.0,29.0,3.0,0.0,0.0
2.0,30.0,3.0,0.0,0.0
2.0,31.0,1.0,0.0,0.0
2.0,32.0,2.0,0.0,0.0
2.0,33.0,4.0,0.0,0.0
2,34,0,0,0
2.0,35.0,4.0,0.0,0.0
2.0,36.0,2.0,0.0,0.0
2.0,37.0,2.0,0.0,0.0
2.0,38.0,2.0,0.0,0.0
2.0,39.0,4.0,0.0,0.0
2.0,40.0,5.0,0.0,0.0
2,41,0,0,0
2.0,42.0,1.0,0.0,0.0
2.0,43.0,1.0,0.0,0.0
2.0,44.0,4.0,0.0,0.0
2.0,45.0,3.0,0.0,0.0
2.0,46.0,3.0,0.0,0.0
2.0,47.0,3.0,0.0,0.0
2.0,48.0,4.0,0.0,0.0
2.0,49.0,5.0,0.0,0.0
2.0,50.0,7.0,0.0,0.0
2.0,51.0,9.0,1.0,0.1111111111111111
2.0,52.0,5.0,0.0,0.0
2.0,53.0,8.0,0.0,0.0
2.0,54.0,3.0,0.0,0.0
2.0,55.0,4.0,1.0,0.25
2.0,56.0,6.0,0.0,0.0
2.0,57.0,5.0,0.0,0.0
2.0,58.0,5.0,1.0,0.2
2.0,59.0,8.0,0.0,0.0
2.0,60.0,5.0,0.0,0.0
2,61,0,0,0
2.0,62.0,4.0,0.0,0.0
2.0,63.0,8.0,0.0,0.0
2.0,64.0,6.0,0.0,0.0
2.0,65.0,9.0,0.0,0.0
2.0,66.0,1.0,0.0,0.0
2.0,67.0,4.0,0.0,0.0
2.0,68.0,7.0,0.0,0.0
2.0,69.0,5.0,0.0,0.0
2.0,70.0,5.0,0.0,0.0
2.0,71.0,5.0,0.0,0.0
2.0,72.0,9.0,0.0,0.0
2.0,73.0,7.0,0.0,0.0
2.0,74.0,7.0,0.0,0.0
2.0,75.0,8.0,0.0,0.0
2.0,76.0,5.0,1.0,0.2
2.0,77.0,6.0,0.0,0.0
2.0,78.0,4.0,0.0,0.0
2.0,79.0,5.0,0.0,0.0
2.0,80.0,7.0,0.0,0.0
2.0,81.0,6.0,0.0,0.0
2.0,82.0,2.0,0.0,0.0
2.0,83.0,3.0,0.0,0.0
2.0,84.0,5.0,0.0,0.0
2.0,85.0,6.0,0.0,0.0
2.0,86.0,5.0,0.0,0.0
2.0,87.0,1.0,0.0,0.0
2.0,88.0,6.0,0.0,0.0
2.0,89.0,4.0,0.0,0.0
2.0,90.0,3.0,0.0,0.0
2.0,91.0,4.0,0.0,0.0
2.0,92.0,4.0,0.0,0.0
2.0,93.0,3.0,0.0,0.0
2,94,0,0,0
2.0,95.0,1.0,0.0,0.0
2.0,96.0,2.0,0.0,0.0
2.0,97.0,5.0,0.0,0.0
2.0,98.0,4.0,0.0,0.0
2.0,99.0,2.0,0.0,0.0
3.0,0.0,1.0,0.0,0.0
3,1,0,0,0
3.0,2.0,1.0,0.0,0.0
3.0,3.0,2.0,1.0,0.5
3,4,0,0,0
3,5,0,0,0
3,6,0,0,0
3,7,0,0,0
3,8,0,0,0
3.0,9.0,2.0,0.0,0.0
3,10,0,0,0
3,11,0,0,0
3.0,12.0,2.0,0.0,0.0
3.0,13.0,1.0,0.0,0.0
3,14,0,0,0
3.0,15.0,1.0,0.0,0.0
3,16,0,0,0
3.0,17.0,1.0,0.0,0.0
3,18,0,0,0
3.0,19.0,3.0,2.0,0.6666666666666666
3.0,20.0,1.0,0.0,0.0
3.0,21.0,3.0,0.0,0.0
3,22,0,0,0
3.0,23.0,1.0,0.0,0.0
3.0,24.0,1.0,0.0,0.0
3,25,0,0,0
3.0,26.0,3.0,0.0,0.0
3.0,27.0,2.0,0.0,0.0
3.0,28.0,2.0,0.0,0.0
3.0,29.0,1.0,0.0,0.0
3.0,30.0,2.0,0.0,0.0
3.0,31.0,2.0,0.0,0.0
3.0,32.0,1.0,0.0,0.0
3.0,33.0,3.0,0.0,0.0
3.0,34.0,4.0,0.0,0.0
3.0,35.0,3.0,0.0,0.0
3.0,36.0,3.0,1.0,0.3333333333333333
3.0,37.0,1.0,0.0,0.0
3.0,38.0,2.0,0.0,0.0
3.0,39.0,2.0,0.0,0.0
3.0,40.0,4.0,0.0,0.0
3,41,0,0,0
3.0,42.0,4.0,0.0,0.0
3.0,43.0,5.0,1.0,0.2
3.0,44.0,3.0,0.0,0.0
3.0,45.0,1.0,1.0,1.0
3.0,46.0,4.0,0.0,0.0
3,47,0,0,0
3.0,48.0,2.0,1.0,0.5
3.0,49.0,6.0,0.0,0.0
3,50,0,0,0
3.0,51.0,4.0,0.0,0.0
3.0,52.0,8.0,0.0,0.0
3.0,53.0,5.0,0.0,0.0
3.0,54.0,3.0,1.0,0.3333333333333333
3.0,55.0,3.0,0.0,0.0
3.0,56.0,7.0,1.0,0.14285714285714285
3.0,57.0,5.0,1.0,0.2
3.0,58.0,6.0,0.0,0.0
3.0,59.0,3.0,1.0,0.3333333333333333
3.0,60.0,4.0,0.0,0.0
3.0,61.0,6.0,0.0,0.0
3.0,62.0,6.0,0.0,0.0
3.0,63.0,5.0,0.0,0.0
3.0,64.0,4.0,0.0,0.0
3.0,65.0,4.0,0.0,0.0
3.0,66.0,2.0,0.0,0.0
3.0,67.0,5.0,0.0,0.0
3.0,68.0,8.0,0.0,0.0
3.0,69.0,6.0,0.0,0.0
3.0,70.0,8.0,0.0,0.0
3.0,71.0,11.0,1.0,0.09090909090909091
3.0,72.0,12.0,0.0,0.0
3.0,73.0,3.0,0.0,0.0
3.0,74.0,7.0,1.0,0.14285714285714285
3.0,75.0,8.0,0.0,0.0
3.0,76.0,9.0,0.0,0.0
3.0,77.0,5.0,0.0,0.0
3.0,78.0,4.0,0.0,0.0
3.0,79.0,7.0,0.0,0.0
3.0,80.0,6.0,0.0,0.0
3.0,81.0,7.0,0.0,0.0
3.0,82.0,6.0,0.0,0.0
3.0,83.0,6.0,0.0,0.0
3.0,84.0,5.0,0.0,0.0
3.0,85.0,6.0,0.0,0.0
3.0,86.0,5.0,0.0,0.0
3.0,87.0,6.0,0.0,0.0
3.0,88.0,7.0,0.0,0.0
3,89,0,0,0
3.0,90.0,2.0,0.0,0.0
3.0,91.0,3.0,0.0,0.0
3.0,92.0,1.0,0.0,0.0
3.0,93.0,3.0,0.0,0.0
3.0,94.0,4.0,0.0,0.0
3.0,95.0,5.0,0.0,0.0
3.0,96.0,2.0,0.0,0.0
3.0,97.0,3.0,0.0,0.0
3.0,98.0,4.0,0.0,0.0
3.0,99.0,3.0,0.0,0.0
4,0,0,0,0
4.0,1.0,2.0,0.0,0.0
4.0,2.0,2.0,0.0,0.0
4.0,3.0,3.0,1.0,0.3333333333333333
4,4,0,0,0
4,5,0,0,0
4.0,6.0,3.0,0.0,0.0
4,7,0,0,0
4.0,8.0,2.0,0.0,0.0
4,9,0,0,0
4,10,0,0,0
4,11,0,0,0
4.0,12.0,1.0,0.0,0.0
4,13,0,0,0
4.0,14.0,1.0,0.0,0.0
4.0,15.0,2.0,1.0,0.5
4.0,16.0,1.0,0.0,0.0
4.0,17.0,1.0,0.0,0.0
4.0,18.0,1.0,0.0,0.0
4,19,0,0,0
4.0,20.0,1.0,0.0,0.0
4.0,21.0,2.0,1.0,0.5
4.0,22.0,1.0,0.0,0.0
4,23,0,0,0
4.0,24.0,3.0,0.0,0.0
4.0,25.0,1.0,0.0,0.0
4.0,26.0,2.0,0.0,0.0
4,27,0,0,0
4.0,28.0,4.0,0.0,0.0
4.0,29.0,3.0,0.0,0.0
4.0,30.0,1.0,0.0,0.0
4.0,31.0,3.0,0.0,0.0
4.0,32.0,1.0,0.0,0.0
4.0,33.0,1.0,0.0,0.0
4,34,0,0,0
4.0,35.0,4.0,0.0,0.0
4.0,36.0,3.0,0.0,0.0
4.0,37.0,5.0,0.0,0.0
4.0,38.0,5.0,0.0,0.0
4.0,39.0,3.0,0.0,0.0
4.0,40.0,3.0,0.0,0.0
4.0,41.0,5.0,1.0,0.2
4.0,42.0,4.0,2.0,0.5
4.0,43.0,1.0,0.0,0.0
4.0,44.0,2.0,0.0,0.0
4.0,45.0,4.0,0.0,0.0
4.0,46.0,5.0,0.0,0.0
4.0,47.0,5.0,0.0,0.0
4.0,48.0,4.0,1.0,0.25
4.0,49.0,1.0,0.0,0.0
4.0,50.0,3.0,0.0,0.0
4.0,51.0,5.0,0.0,0.0
4.0,52.0,4.0,0.0,0.0
4.0,53.0,4.0,0.0,0.0
4.0,54.0,3.0,0.0,0.0
4.0,55.0,5.0,0.0,0.0
4.0,56.0,1.0,0.0,0.0
4.0,57.0,2.0,0.0,0.0
4.0,58.0,2.0,0.0,0.0
4.0,59.0,6.0,1.0,0.16666666666666666
4.0,60.0,3.0,0.0,0.0
4.0,61.0,1.0,0.0,0.0
4.0,62.0,1.0,0.0,0.0
4.0,63.0,1.0,0.0,0.0
4.0,64.0,7.0,0.0,0.0
4.0,65.0,2.0,0.0,0.0
4.0,66.0,4.0,0.0,0.0
4.0,67.0,7.0,0.0,0.0
4.0,68.0,6.0,0.0,0.0
4.0,69.0,11.0,1.0,0.09090909090909091
4.0,70.0,3.0,0.0,0.0
4.0,71.0,6.0,0.0,0.0
4.0,72.0,9.0,0.0,0.0
4.0,73.0,8.0,0.0,0.0
4.0,74.0,6.0,0.0,0.0
4.0,75.0,9.0,2.0,0.2222222222222222
4.0,76.0,6.0,0.0,0.0
4.0,77.0,5.0,0.0,0.0
4.0,78.0,5.0,0.0,0.0
4.0,79.0,4.0,0.0,0.0
4.0,80.0,13.0,0.0,0.0
4.0,81.0,3.0,0.0,0.0
4.0,82.0,9.0,0.0,0.0
4.0,83.0,7.0,0.0,0.0
4.0,84.0,7.0,0.0,0.0
4.0,85.0,3.0,0.0,0.0
4.0,86.0,4.0,0.0,0.0
4.0,87.0,5.0,0.0,0.0
4.0,88.0,5.0,0.0,0.0
4.0,89.0,1.0,0.0,0.0
4.0,90.0,1.0,0.0,0.0
4.0,91.0,5.0,0.0,0.0
4.0,92.0,6.0,0.0,0.0
4.0,93.0,3.0,0.0,0.0
4,94,0,0,0
4.0,95.0,2.0,0.0,0.0
4.0,96.0,2.0,0.0,0.0
4.0,97.0,3.0,0.0,0.0
4.0,98.0,3.0,0.0,0.0
4.0,99.0,1.0,0.0,0.0
5.0,0.0,1.0,0.0,0.0
5.0,1.0,2.0,1.0,0.5
5.0,2.0,1.0,0.0,0.0
5,3,0,0,0
5,4,0,0,0
5,5,0,0,0
5.0,6.0,1.0,0.0,0.0
5.0,7.0,2.0,0.0,0.0
5.0,8.0,1.0,0.0,0.0
5.0,9.0,2.0,0.0,0.0
5.0,10.0,2.0,1.0,0.5
5.0,11.0,1.0,0.0,0.0
5.0,12.0,3.0,0.0,0.0
5,13,0,0,0
5,14,0,0,0
5.0,15.0,1.0,0.0,0.0
5,16,0,0,0
5,17,0,0,0
5.0,18.0,1.0,0.0,0.0
5,19,0,0,0
5,20,0,0,0
5.0,21.0,2.0,0.0,0.0
5.0,22.0,3.0,0.0,0.0
5.0,23.0,2.0,0.0,0.0
5.0,24.0,1.0,0.0,0.0
5.0,25.0,1.0,0.0,0.0
5.0,26.0,2.0,0.0,0.0
5.0,27.0,4.0,1.0,0.25
5.0,28.0,2.0,0.0,0.0
5.0,29.0,1.0,0.0,0.0
5.0,30.0,1.0,0.0,0.0
5.0,31.0,1.0,0.0,0.0
5,32,0,0,0
5.0,33.0,2.0,0.0,0.0
5.0,34.0,2.0,0.0,0.0
5.0,35.0,2.0,0.0,0.0
5,36,0,0,0
5.0,37.0,5.0,0.0,0.0
5.0,38.0,2.0,0.0,0.0
5.0,39.0,4.0,0.0,0.0
5.0,40.0,2.0,0.0,0.0
5.0,41.0,2.0,0.0,0.0
5.0,42.0,4.0,0.0,0.0
5.0,43.0,2.0,0.0,0.0
5.0,44.0,3.0,0.0,0.0
5.0,45.0,4.0,0.0,0.0
5.0,46.0,1.0,0.0,0.0
5.0,47.0,4.0,1.0,0.25
5.0,48.0,6.0,0.0,0.0
5.0,49.0,2.0,0.0,0.0
5.0,50.0,6.0,0.0,0.0
5.0,51.0,3.0,0.0,0.0
5.0,52.0,4.0,0.0,0.0
5.0,53.0,3.0,0.0,0.0
5.0,54.0,4.0,0.0,0.0
5.0,55.0,3.0,0.0,0.0
5.0,56.0,6.0,1.0,0.16666666666666666
5.0,57.0,8.0,0.0,0.0
5.0,58.0,3.0,0.0,0.0
5.0,59.0,4.0,0.0,0.0
5.0,60.0,10.0,1.0,0.1
5.0,61.0,4.0,2.0,0.5
5.0,62.0,7.0,0.0,0.0
5.0,63.0,4.0,0.0,0.0
5.0,64.0,7.0,0.0,0.0
5.0,65.0,6.0,1.0,0.16666666666666666
5.0,66.0,5.0,0.0,0.0
5.0,67.0,9.0,0.0,0.0
5.0,68.0,4.0,0.0,0.0
5.0,69.0,7.0,0.0,0.0
5.0,70.0,9.0,1.0,0.1111111111111111
5.0,71.0,9.0,2.0,0.2222222222222222
5.0,72.0,4.0,0.0,0.0
5.0,73.0,10.0,1.0,0.1
5.0,74.0,9.0,0.0,0.0
5.0,75.0,7.0,0.0,0.0
5.0,76.0,12.0,0.0,0.0
5.0,77.0,2.0,0.0,0.0
5.0,78.0,6.0,0.0,0.0
5.0,79.0,3.0,0.0,0.0
5.0,80.0,5.0,0.0,0.0
5.0,81.0,6.0,0.0,0.0
5.0,82.0,9.0,0.0,0.0
5.0,83.0,6.0,0.0,0.0
5.0,84.0,5.0,0.0,0.0
5.0,85.0,5.0,0.0,0.0
5.0,86.0,5.0,0.0,0.0
5.0,87.0,1.0,0.0,0.0
5,88,0,0,0
5.0,89.0,1.0,0.0,0.0
5.0,90.0,7.0,0.0,0.0
5.0,91.0,4.0,0.0,0.0
5.0,92.0,2.0,0.0,0.0
5.0,93.0,2.0,0.0,0.0
5.0,94.0,6.0,0.0,0.0
5.0,95.0,4.0,0.0,0.0
5.0,96.0,3.0,0.0,0.0
5.0,97.0,3.0,0.0,0.0
5.0,98.0,2.0,0.0,0.0
5.0,99.0,1.0,0.0,0.0
6.0,0.0,2.0,0.0,0.0
6.0,1.0,6.0,0.0,0.0
6.0,2.0,2.0,0.0,0.0
6,3,0,0,0
6,4,0,0,0
6.0,5.0,2.0,0.0,0.0
6.0,6.0,2.0,0.0,0.0
6.0,7.0,1.0,0.0,0.0
6.0,8.0,1.0,0.0,0.0
6,9,0,0,0
6.0,10.0,2.0,0.0,0.0
6.0,11.0,1.0,0.0,0.0
6.0,12.0,3.0,0.0,0.0
6,13,0,0,0
6,14,0,0,0
6.0,15.0,2.0,1.0,0.5
6.0,16.0,1.0,0.0,0.0
6,17,0,0,0
6.0,18.0,7.0,1.0,0.14285714285714285
6.0,19.0,1.0,0.0,0.0
6.0,20.0,2.0,1.0,0.5
6.0,21.0,4.0,2.0,0.5
6.0,22.0,3.0,0.0,0.0
6.0,23.0,2.0,0.0,0.0
6.0,24.0,6.0,0.0,0.0
6.0,25.0,2.0,0.0,0.0
6,26,0,0,0
6.0,27.0,1.0,0.0,0.0
6.0,28.0,3.0,0.0,0.0
6.0,29.0,1.0,0.0,0.0
6.0,30.0,4.0,1.0,0.25
6.0,31.0,1.0,0.0,0.0
6.0,32.0,2.0,0.0,0.0
6.0,33.0,3.0,0.0,0.0
6.0,34.0,5.0,0.0,0.0
6.0,35.0,1.0,0.0,0.0
6.0,36.0,4.0,0.0,0.0
6.0,37.0,4.0,0.0,0.0
6.0,38.0,1.0,0.0,0.0
6.0,39.0,6.0,0.0,0.0
6.0,40.0,1.0,0.0,0.0
6.0,41.0,2.0,1.0,0.5
6.0,42.0,3.0,0.0,0.0
6.0,43.0,6.0,0.0,0.0
6.0,44.0,1.0,0.0,0.0
6.0,45.0,5.0,0.0,0.0
6.0,46.0,7.0,0.0,0.0
6.0,47.0,3.0,0.0,0.0
6.0,48.0,9.0,0.0,0.0
6.0,49.0,3.0,0.0,0.0
6.0,50.0,2.0,0.0,0.0
6.0,51.0,4.0,1.0,0.25
6.0,52.0,5.0,0.0,0.0
6.0,53.0,7.0,0.0,0.0
6.0,54.0,4.0,0.0,0.0
6.0,55.0,8.0,0.0,0.0
6.0,56.0,1.0,0.0,0.0
6,57,0,0,0
6.0,58.0,7.0,0.0,0.0
6.0,59.0,4.0,0.0,0.0
6.0,60.0,3.0,0.0,0.0
6.0,61.0,4.0,0.0,0.0
6.0,62.0,6.0,0.0,0.0
6.0,63.0,5.0,0.0,0.0
6.0,64.0,4.0,1.0,0.25
6.0,65.0,2.0,0.0,0.0
6.0,66.0,7.0,0.0,0.0
6.0,67.0,6.0,1.0,0.16666666666666666
6.0,68.0,7.0,0.0,0.0
6.0,69.0,6.0,0.0,0.0
6.0,70.0,10.0,0.0,0.0
6.0,71.0,12.0,1.0,0.08333333333333333
6.0,72.0,9.0,0.0,0.0
6.0,73.0,2.0,0.0,0.0
6.0,74.0,7.0,1.0,0.14285714285714285
6.0,75.0,6.0,0.0,0.0
6.0,76.0,10.0,0.0,0.0
6.0,77.0,4.0,0.0,0.0
6.0,78.0,7.0,0.0,0.0
6.0,79.0,8.0,0.0,0.0
6.0,80.0,4.0,0.0,0.0
6.0,81.0,2.0,0.0,0.0
6.0,82.0,5.0,0.0,0.0
6.0,83.0,2.0,0.0,0.0
6.0,84.0,4.0,0.0,0.0
6.0,85.0,6.0,0.0,0.0
6.0,86.0,1.0,0.0,0.0
6.0,87.0,4.0,0.0,0.0
6.0,88.0,2.0,0.0,0.0
6.0,89.0,1.0,0.0,0.0
6.0,90.0,4.0,0.0,0.0
6.0,91.0,6.0,0.0,0.0
6.0,92.0,1.0,0.0,0.0
6.0,93.0,6.0,0.0,0.0
6.0,94.0,2.0,0.0,0.0
6.0,95.0,2.0,0.0,0.0
6.0,96.0,2.0,0.0,0.0
6.0,97.0,6.0,0.0,0.0
6.0,98.0,1.0,0.0,0.0
6.0,99.0,4.0,0.0,0.0
7.0,0.0,3.0,0.0,0.0
7,1,0,0,0
7,2,0,0,0
7.0,3.0,2.0,0.0,0.0
7.0,4.0,1.0,1.0,1.0
7,5,0,0,0
7.0,6.0,2.0,1.0,0.5
7,7,0,0,0
7.0,8.0,1.0,0.0,0.0
7,9,0,0,0
7.0,10.0,1.0,0.0,0.0
7.0,11.0,1.0,0.0,0.0
7,12,0,0,0
7.0,13.0,2.0,0.0,0.0
7,14,0,0,0
7,15,0,0,0
7,16,0,0,0
7.0,17.0,1.0,0.0,0.0
7.0,18.0,3.0,0.0,0.0
7.0,19.0,1.0,0.0,0.0
7,20,0,0,0
7.0,21.0,2.0,0.0,0.0
7,22,0,0,0
7.0,23.0,1.0,1.0,1.0
7,24,0,0,0
7,25,0,0,0
7,26,0,0,0
7.0,27.0,3.0,0.0,0.0
7.0,28.0,1.0,0.0,0.0
7.0,29.0,1.0,0.0,0.0
7,30,0,0,0
7.0,31.0,4.0,0.0,0.0
7,32,0,0,0
7.0,33.0,4.0,1.0,0.25
7,34,0,0,0
7.0,35.0,4.0,2.0,0.5
7.0,36.0,3.0,0.0,0.0
7.0,37.0,2.0,0.0,0.0
7.0,38.0,4.0,0.0,0.0
7.0,39.0,5.0,0.0,0.0
7.0,40.0,2.0,0.0,0.0
7.0,41.0,1.0,0.0,0.0
7.0,42.0,1.0,0.0,0.0
7.0,43.0,2.0,0.0,0.0
7.0,44.0,2.0,0.0,0.0
7.0,45.0,2.0,0.0,0.0
7.0,46.0,1.0,0.0,0.0
7.0,47.0,3.0,0.0,0.0
7.0,48.0,6.0,1.0,0.16666666666666666
7.0,49.0,4.0,0.0,0.0
7.0,50.0,2.0,0.0,0.0
7.0,51.0,4.0,0.0,0.0
7.0,52.0,3.0,0.0,0.0
7.0,53.0,3.0,0.0,0.0
7.0,54.0,1.0,0.0,0.0
7.0,55.0,3.0,0.0,0.0
7.0,56.0,10.0,1.0,0.1
7.0,57.0,3.0,0.0,0.0
7.0,58.0,3.0,0.0,0.0
